Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Exit Type,Return
2018-12-02,2018-12-09,3476.11474609375,3236.76171875,0.39999999999999997,Stop Loss,-0.027542592213070136
2018-12-23,2019-01-20,3820.40869140625,3602.46044921875,0.39999999999999997,Stop Loss,-0.022819364082985148
2019-01-27,2019-04-14,3521.060791015625,5337.88623046875,0.39999999999999997,RSI Signal,0.2063952368091974
2019-12-08,2020-03-08,7124.673828125,5200.3662109375,0.39999999999999997,Stop Loss,-0.10803625056300546
2021-07-11,2021-08-29,31533.068359375,49944.625,0.39999999999999997,RSI Signal,0.2335523638967549
2022-01-16,2022-05-08,35030.25,30101.265625,0.39999999999999997,Stop Loss,-0.0562826057478893
2022-06-12,2022-11-06,19017.642578125,16799.185546875,0.39999999999999997,Stop Loss,-0.046661031137513874
2023-09-24,2023-11-19,26967.916015625,37796.79296875,0.39999999999999997,RSI Signal,0.16061866918972648
