Strategy,Total Return,Annualized Return,Buy & Hold Return,Number of Trades,Win Rate,Sharpe Ratio,Maximum Drawdown
Original RSI Strategy,2.1408766616726846,0.15124672557055718,107.22755726976902,5,0.8,0.5889390375032195,-0.6410582424401857
RSI with Position Sizing & Stop-Loss,0.32926436444025464,0.03564745929084112,107.22755726976902,8,0.375,0.3688512335233494,-0.19912511885707262
